,avg_x_orig,avg_y_orig,density_ratio1_canny,density_ratio1_orig,density_ratio2_canny,density_ratio2_orig,density_ratio3_canny,density_ratio3_orig,density_ratio4_canny,density_ratio4_orig,h_w_ratio_canny,mean_hist_canny,mean_hist_orig,no_of_corners_orig,occ_ratio_canny,occ_ratio_orig,var_hist_canny,var_hist_orig
01_1,0.5072032571249608,0.3572645205246125,0.46869187848729077,0.7427184466019418,0.4879107253564786,0.5,0.517639512508018,0.3497536945812808,0.5025641025641026,0.6318407960199005,0.543859649122807,0.08715336728919072,0.8834182229767968,0.08,0.08715336728919072,0.11658177702320317,0.07955765785934615,0.10299046628931531
01_2,0.918534718425369,0.36366339577757956,0.49215572341661823,0.5254237288135594,0.49680418361417783,0.0,0.5132211538461539,0.0,0.5182963407318536,0.17307692307692307,0.543859649122807,0.02603282399547255,0.9666100735710244,0.04,0.02603282399547255,0.03338992642897567,0.025355116070293296,0.032275039242043245
01_3,0.6525027808676307,0.65178463399879,0.5012033694344163,0.2689655172413793,0.5,0.25517241379310346,0.5055831265508685,0.4744525547445255,0.5236612702366127,0.28169014084507044,0.543859649122807,0.059422750424448216,0.9179400113186191,0.05,0.059422750424448216,0.08205998868138087,0.05589168715644196,0.07532614693899252
01_4,0.29565092165898615,0.6062813283208021,0.5058750773036488,0.29910714285714285,0.4551638837353123,0.7276785714285714,0.47024952015355087,0.8310502283105022,0.5025575447570333,0.5296803652968036,0.543859649122807,0.08488964346349745,0.873231465761177,0.04,0.08488964346349745,0.12676853423882287,0.07768339189613772,0.11069827296576329
01_5,0.14255983350676377,0.7406149783059801,0.5139135583185317,0.0,0.46003552397868563,1.0,0.47549019607843135,1.0,0.5003054367745876,0.6888888888888889,0.543859649122807,0.044142614601018676,0.9473684210526315,0.02,0.044142614601018676,0.05263157894736842,0.042194044177204605,0.04986149584487535
01_6,0.3019069684548209,0.6410778327033052,0.5076734192756293,0.281767955801105,0.4597912829957029,0.7513812154696132,0.4692063492063492,0.8522727272727273,0.5006353240152478,0.5428571428571428,0.543859649122807,0.07809847198641766,0.8975664968873798,0.04,0.07809847198641766,0.10243350311262026,0.07199910065980437,0.09194088055269707
02_1,0.5726950354609929,0.3386130811662727,0.4719416386083053,0.8382978723404255,0.5061728395061729,0.42127659574468085,0.517599538372764,0.2600896860986547,0.499131441806601,0.6798245614035088,0.6666666666666666,0.08333333333333333,0.8791152263374487,0.06,0.08333333333333333,0.12088477366255145,0.0763888888888889,0.10627164515910513
02_2,0.831989247311828,0.674731182795699,0.5071240105540897,0.14516129032258066,0.5092348284960422,0.08064516129032258,0.5086767895878525,0.1694915254237288,0.5196292257360959,0.14516129032258066,0.6666666666666666,0.025205761316872428,0.9681069958847737,0.05,0.025205761316872428,0.03189300411522634,0.024570430913309276,0.03087584040373249
02_3,0.6494832041343669,0.7180878552971577,0.5339643652561247,0.07441860465116279,0.5167037861915368,0.2651162790697674,0.4959954233409611,0.5485436893203883,0.5367816091954023,0.1875,0.6666666666666666,0.07613168724279835,0.88940329218107,0.05,0.07613168724279835,0.11059670781893004,0.0703356534403631,0.09836507603854429
02_4,0.3268524007113219,0.6133394805593976,0.5104287369640788,0.37344398340248963,0.46176129779837777,0.7344398340248963,0.4710793082886106,0.8034188034188035,0.5,0.5916666666666667,0.6481481481481481,0.08677248677248676,0.8724867724867725,0.03,0.08677248677248678,0.12751322751322752,0.07924302231180538,0.1112536043223874
02_5,0.19547383309759547,0.46828016134946826,0.49972482113373695,0.48514851485148514,0.4678040726472207,0.9207920792079208,0.4932049830124575,0.6836734693877551,0.4912181303116147,0.99,0.6481481481481481,0.038624338624338624,0.9465608465608466,0.04,0.038624338624338624,0.05343915343915344,0.03713249909017105,0.05058341031886005
02_6,0.23867243867243865,0.6958473625140292,0.5109769484083425,0.1717171717171717,0.47365532381997805,0.8383838383838383,0.48192090395480225,0.9896907216494846,0.5132543711223915,0.3829787234042553,0.6481481481481481,0.03597883597883598,0.9476190476190476,0.05,0.03597883597883598,0.05238095238095238,0.03468435934044399,0.04963718820861678
03_1,0.5180020283975659,0.3089460784313725,0.4756857855361596,0.8014705882352942,0.48566084788029923,0.4852941176470588,0.5293737895416397,0.24242424242424243,0.5038709677419355,0.6818181818181818,0.48333333333333334,0.07816091954022988,0.92183908045977,0.08,0.07816091954022988,0.07816091954022988,0.07205179019685559,0.07205179019685559
03_2,0.8691423519009726,0.7658119658119659,0.5111633372502937,0.0,0.4935370152761457,0.0,0.5151883353584447,0.2,0.5291970802919708,0.0,0.48333333333333334,0.021839080459770115,0.9775862068965517,0.03,0.021839080459770115,0.022413793103448276,0.021362135024441797,0.02191141498216409
